序号,MD5,名称,介绍,模型UID,模型参数及说明,是否有示例数据（资源）,display_name_en
1,6d5b39c521ff401cf5be921180e1c151,1978Texas冬小麦产量区域尺度的估计,,16488859-aaab-4b71-80b2-57bd214dffd5,"输入: a-回归系数(REAL), b-回归系数(REAL), c-回归系数(REAL), y-农业气象学模型的估计结果(REAL), I_green-MSS数据得到的绿度指数值(REAL) | 输出: double-小麦产量(REAL)",,1978 Texas Winter Wheat Yield Estimation
43,dfde2cff1e6b6f539abe450fd0775521,MSS变换公式,,993bb95c-6998-4229-bf94-cbe7356e24aa,输入: band[7]-MSS7个波段(REAL_ARRAY) | 输出: MSS_BGYN-MSS变换后的值(NODE),,MSS Transformation Formula
44,324e6b3d15b258775d074b5f7f43a951,Monsi-Saeki公式,,19d9ffa7-f524-4fa2-9a19-9612a22d3dcb,"输入: s-冠顶处的辐射强度(REAL), a-单位有效遮光面积消光系数(REAL), Fy-由冠层表面向下累积的叶面积指数(REAL) | 输出: sy-距地面y处的辐射强度(REAL)",,Monsi-Saeki Formula
45,e4e78cabdf7de622f99a36e2ed6dcc9c,NPP估算值的变化,,2d65817d-7c85-45cb-a981-ae424ac0cf8f,"输入: p-参数(REAL), mu-参数(REAL), sigma-参数(REAL) | 输出: Var(NPP)-NPP估算值的变化(REAL)",,NPP Estimate Variance
46,8f91bbdd3995cdd38ad86a3f2846e66a,NPP估算值的平均值,,5b5b583e-1aeb-4810-b334-eaf22c26d5e9,"输入: p-参数(REAL), mu-参数(REAL), sigma-参数(REAL) | 输出: E(NPP)-NPP估算值的平均值(REAL)",,NPP Estimate Mean
47,00bced8a1dd285435a52a0cc737fcc47,NPP函数,,9a9bb77d-3920-49f7-8d3f-fdfd297c62f9,"输入: q-1-p(REAL), p-参数(REAL), GNPPNPP-参数(REAL) | 输出: FNPPNPP-NPP函数(REAL)",,NPP Function
48,32eee4729b69e98290f9c5639b3e25f2,N个地块的相对误差模型,,279d06d4-a831-44e5-81d6-475891cced08,"输入: R-分辨率(REAL), L-地块周长(REAL_ARRAY), A-地块面积(REAL_ARRAY), i-地块(INT) | 输出: double-N个地块的相对误差(REAL)",,Relative Error Model For N Plots
49,8d8fba2af1549ec0f64d9702d5232fdc,Odum总稳定性指标,,0c9302ed-a6a4-4131-9f23-40a09216d309,"输入: T-抗干扰能力(REAL), S-恢复力(REAL) | 输出: GS-总稳定性(REAL)",,Odum Total Stability Index
50,d353296596c8f20812b83f0026e2d1a9,Olson指数衰减模型,,a4d9b59e-472c-45ff-bd40-946c56851a45,"输入: W0-t=0时枯枝落叶初始量(REAL), k-年分解速率(REAL), t-参数(REAL) | 输出: We-t时刻的残留量(REAL)",,Olson Exponential Decay Model
51,3710ceb97eeb550f1de1a46c68620b24,PAR被截留(fIPAR)部分,,0b145ac8-12c3-4e6f-9611-c91ca98e3c95,"输入: PARi-在树冠顶部入射的PAR(REAL), PARt-PAR从林冠底部透出的部分(REAL) | 输出: fIPAR-PAR被截留部分(REAL)",,Intercepted PAR Fraction (f IPAR)
52,de5475a71646e1c6f81d5ee175b24aaf,PAR被植物吸收(fPAR)部分,,901d6db2-8b52-45db-8d24-03c3a7cacfba,"输入: PARi-在树冠顶部入射的PAR(REAL), PARt-PAR从林冠底部透出的部分(REAL), PARSc-从林冠散射到空气中损失值(REAL), PARSb-由土壤或落叶表面散射到空气中但未被林冠吸收的光子(REAL) | 输出: fPAR-PAR被植物吸收部分(REAL)",,Absorbed PAR Fraction (f PAR)
53,81fbeee1dc8035f1bfeae5995f85edd9,PRA算法,,c6f35449-59eb-4edf-9ef0-f6c9b59ce6ab,"输入: T4-通道4的卫星亮度(REAL), T5-通道5的卫星亮度(REAL), t04-通道4的大气透过率(REAL), t05-通道5的大气透过率(REAL), epslon4-通道4的比辐射率(REAL), epslon5-通道5的比辐射率(REAL), deta-相应参数(REAL), c-相应参数(REAL) | 输出: double-陆面温度(REAL)",,PRA Land Surface Temperature Algorithm
54,3901547841940c2769583776225b1869,PRI算法,,21c4834d-e676-420e-997d-79e877f2e2ee,"输入: T4-通道4的卫星亮度(REAL), T5-通道5的卫星亮度(REAL), t04-通道4的大气透过率(REAL), t05-通道5的大气透过率(REAL), epslon4-通道4的比辐射率(REAL), epslon5-通道5的比辐射率(REAL) | 输出: double-陆面温度(REAL)",,PRI Land Surface Temperature Algorithm
55,c61091bd763bee17697f42d2ff0f2901,Penman公式法模型,,c35c7f4d-9781-4d9a-a76e-4748e5e10a44,"输入: R0-有效辐射量(REAL), slope-在平均湿度温度t时的饱和水汽压曲线的斜率(REAL), upsilon-干湿温度表温度常数(REAL), ea-是Penman称为空气干燥力的参数(REAL) | 输出: E0-蒸散力(REAL)",,Penman Formula Model
56,6883c20ddf9fdc120fa7a2bcd5da2cef,Pielou均匀性指数公式,,66c9fd5e-8234-4eca-8f8e-ac16f96332cd,"输入: H-物种的多样性指数(REAL), S-群落中的类群数(INT) | 输出: E-Pielou均匀性指数(REAL)",,Pielou Evenness Index Formula
57,3908c26da3109fceecff427febbedb10,Pinker和Laszlo求DSSR的方法,,a01382bf-b909-403b-b788-876f4d7905b9,"输入: DSSRclear-晴朗天空的流量(REAL), DSSRcloudy-云层条件的流量(REAL), nclear-无云的像素数目(REAL), ncloudy-有云的像素数目(REAL) | 输出: double-所有条件下天空的DSSR流量(REAL)",,Pinker And Laszlo DSSR Method
58,73f20c4b638aad92f728df5bd12442c7,PriestleyTaylor模型,,f4d1e14b-1f0e-4cdf-955d-1f016e3999b5,"输入: a-经验常数(REAL), s-饱和水蒸气压曲线在气温处的斜率(REAL), r_-湿度计常数(REAL), Rn-净辐射(REAL), G-地面热通量(REAL) | 输出: double-PriestleyTaylor模型(REAL)",,Priestley-Taylor Model
59,a44f6b5ca6e2251391300224159d742b,Rnc修正方程,,7ca6f47a-1a99-4bad-a2fa-474c985026a8,"输入: Rn-净辐射(REAL), k-系数(REAL), Ila-叶面积指数(REAL), ths-太阳天顶角(REAL) | 输出: double-Rnc修正(REAL)",,Rnc Correction Equation
60,4fbde119b5c5568947f94d70c9e6da97,Rns修正方程,,ee318833-3dc4-4b76-9ddc-0c326c2121e5,"输入: Rn-净辐射(REAL), k-系数(REAL), Ila-叶面积指数(REAL), ths-太阳天顶角(REAL) | 输出: double-Rns修正(REAL)",,Rns Correction Equation
61,5bde6b0e9fd00ee2c6e2d7714b9d6d55,SAIL系数,,868c0f85-7f35-4e36-94b2-3ad291142df5,"输入: Gli-参数(REAL), LH-叶面积指数(REAL), miui-极角(REAL) | 输出: double-SAIL系数(REAL)",,SAIL Coefficient
62,da3edfe132fa3b848f149cc6062b6f51,SAR多普勒方程,,1d6e351d-7612-4750-9c86-deb629febc6e,"输入: lemda-雷达波长(REAL), R-斜距(REAL), Vs-卫星平台的速度矢量(REAL), Vt-地面目标的速度矢量(REAL), Rs-卫星平台的位置矢量(REAL), Rt-地面目标的位置矢量(REAL) | 输出: double-多普勒频率(REAL)",,SAR Doppler Equation
63,16f19288ceec6e36d72e5c5f82d5fdf8,SD系统动力学模型仿真与方案优选,,531c7ee3-e89c-4bcf-a10a-ffca87e69abf,"输入: lam-各项指标的权重(REAL_ARRAY), f-未知参数(REAL_ARRAY), K-未知参数(INT), N-未知参数(INT) | 输出: double-SD系统动力学模型仿真与方案优选(REAL)",,System Dynamics (SD) Simulation And Scenario Selection
64,f7772c6e256db8e4503f0564e7c06803,SO2阻力和水蒸气扩散的关系,,572263a5-6cf9-47c6-90f0-bc8af70818bb,"输入: r_H2O-无(REAL), D_H2O-无(REAL), D_SO2-无(REAL) | 输出: r_SO2-无(REAL)",,SO2 Resistance And Water Vapor Diffusion Relationship
65,cfe3d392b023f85be6bc5737a3fe362b,SOB算法,,2600442c-f8f7-49dd-8879-385718ae0d6e,"输入: T4-通道4的卫星亮度(REAL), T5-通道5的卫星亮度(REAL), epslon4-通道4的比辐射率(REAL), epslon5-通道5的比辐射率(REAL), w-总水汽含量(REAL) | 输出: double-陆面温度(REAL)",,SOB Land Surface Temperature Algorithm
66,82d211e26a2bf1cbee6e8b6a0142db57,Salvucci模型,,83c2f22c-8d50-4d62-b1a5-7f081f114d5d,"输入: ep-潜在蒸发率(REAL), t-位置参数(REAL), td-干燥时间(REAL), K0-扩散决定通量(REAL) | 输出: double-Salvucci模型(REAL)",,Salvucci Model
67,c4a1c7a93c8afdbe22aab351055c6540,Shannon-Wiener多样性指数公式,,03ce21e1-678e-4823-b594-587b086fc51b,"输入: n[]-每一类群的重要值(REAL_ARRAY), N-总的重要值(REAL), S-群落中的类群数(INT) | 输出: H-物种的多样性指数(REAL)",,Shannon-Wiener Diversity Index Formula
68,4b53a9f29af0e816cf83d64db4b6b155,Shannon-Wiener指数模型,,cbb10d8c-3484-4c05-aea6-bd39f0e5ca22,"输入: N-调查总样方数(REAL), s-鸟类数(REAL), n[]-鸟类出现的样方数(REAL_ARRAY) | 输出: H-Shannon-Wiener指数(REAL)",,Shannon-Wiener Index Model
69,23279c566b34308f26b103bc2ea95d15,Shannon_Wiener指数H模型,,28f0bdf4-84a9-4332-a4b3-53d21c05856c,"输入: Ns-所有物种的个体数(REAL), N[]-第i个物种的个体数(REAL_ARRAY), n-物种数(INT) | 输出: H-Shannon_Wiener指数(REAL)",,Shannon-Wiener Index H Model
70,5979fa450ba4828acf913615bd4823b1,Shannon多样性指数模型,,bbaa47f9-0444-4dac-aeb9-95bba5293090,"输入: P[]-第i类群的百分比(REAL_ARRAY), S-类群数(INT) | 输出: H-Shannon多样性指数(REAL)",,Shannon Diversity Index Model
71,12e1fc2f415906f24fdf4d048af8e4da,Simpson优势度指数公式,,e9566fc1-c8ff-459d-81b4-fd1ba8801f45,"输入: n[]-每一类群的重要值(REAL_ARRAY), N-总的重要值(REAL), S-群落中的类群数(INT) | 输出: C-Simpson优势度指数(REAL)",,Simpson Dominance Index Formula
72,533a8487df4a153f2af7f4116d4ffe0b,Simpson优势度模型,,0b831ad3-6747-49b5-87d8-6f82ec7a239b,"输入: N-调查总样方数(REAL), s-鸟类数(REAL), n[]-鸟类出现的样方数(REAL_ARRAY) | 输出: D-Simpson优势度(REAL)",,Simpson Dominance Model
73,c065e159a43d806206d5c7028461906c,Sr-Sr在田表水、表土及水稻植株种滞留浓度与时间的关系模型,,450990fa-b24b-4554-8427-8e0e390e0fce,输入: t-和滞留浓度相应的滞留事件(REAL) | 输出: CrSr-Sr-在水稻植株中的滞留浓度(REAL),,Sr-Sr Retention Concentration Time Model In Rice Fields
74,e7fa5edc40ff688c10a3de65cf435f47,Staylor求DSSR的方法,,3826f3a9-f26c-4697-8d20-315d6d8c29a3,"输入: DSSRTOA-在大气层顶部的DSSR(REAL), TA-晴朗天空下的大气透射率(REAL), TC-云层的透射率(REAL) | 输出: double-下行表面短波辐射(REAL)",,Staylor DSSR Method
75,c57936f64b283af174be6e7ac4906108,TIMS数据校准,,8651d8c1-431c-40cc-a433-77ebf3f36b44,"输入: epsilonj-波长j处地地表发射率(REAL), LjBB-表面温度为T的黑体发射的谱辐射(REAL), Ljsky-从大气入射到地表的谱辐射(REAL), taoj-大气的谱辐射率(REAL), Ljatm-大气发射的谱辐射(REAL) | 输出: LSj-传感器观测到的光谱辐射(REAL)",,TIMS Data Calibration
76,d84bd70ebdb8b504642f8ea7c7513ded,TM变换公式,,eb7c326a-669b-42e8-9cef-b689fa18324c,输入: band[7]-TM7个波段(REAL_ARRAY) | 输出: TM_BGW-TM变换后的值(NODE),,TM Transformation Formula
77,5074f0afd7be833694168f9f9207450b,Temps和Coulson,,454d06b1-a652-40b7-8126-7b006d87b2ec,"输入: P-地形坡度(REAL), theta-太阳的顶角(REAL), I-角度(REAL) | 输出: g2-参数(REAL)",,Temps And Coulson Topographic Correction
78,86d536bd289740cc95e2436a209bf733,T计算公式,,39bb276e-10c2-43b6-907e-61468d6e7d92,"输入: lambda-亮度温度(REAL), TB-常数(REAL), alpha-表面发射率(REAL), Epsi-参数(REAL) | 输出: TT-观察对象的运动学温度(REAL)",,Kinetic Temperature (T) Formula
79,200630765160374bc7dc704e167b26e9,UVM算法,,c6584aa3-43ef-481d-aed8-2a02c0031dc8,"输入: T4-通道4的卫星亮度(REAL), T5-通道5的卫星亮度(REAL), alpha-由大气温度决定(REAL), beta-由表面温度决定(REAL), epslon4-通道4的比辐射率(REAL), epslon5-通道5的比辐射率(REAL), epslon-相应参数(REAL) | 输出: double-陆面温度(REAL)",,UVM Land Surface Temperature Algorithm
